seq,rtt_ms,transport,network,relayed
314,188.300,p2p-browser,cross-isp,1
315,174.900,p2p-browser,cross-isp,1
316,167.100,p2p-browser,cross-isp,1
317,155.400,p2p-browser,cross-isp,1
318,155.500,p2p-browser,cross-isp,1
319,162.500,p2p-browser,cross-isp,1
320,153.100,p2p-browser,cross-isp,1
321,139.800,p2p-browser,cross-isp,1
322,151.600,p2p-browser,cross-isp,1
323,147.700,p2p-browser,cross-isp,1
324,149.100,p2p-browser,cross-isp,1
325,142.600,p2p-browser,cross-isp,1
326,144.900,p2p-browser,cross-isp,1
327,183.200,p2p-browser,cross-isp,1
328,172.300,p2p-browser,cross-isp,1
329,160.000,p2p-browser,cross-isp,1
330,154.700,p2p-browser,cross-isp,1
331,150.000,p2p-browser,cross-isp,1
332,136.800,p2p-browser,cross-isp,1
333,178.100,p2p-browser,cross-isp,1
334,161.100,p2p-browser,cross-isp,1
335,144.500,p2p-browser,cross-isp,1
336,174.200,p2p-browser,cross-isp,1
337,158.700,p2p-browser,cross-isp,1
338,146.100,p2p-browser,cross-isp,1
339,157.400,p2p-browser,cross-isp,1
340,144.900,p2p-browser,cross-isp,1
341,181.200,p2p-browser,cross-isp,1
342,171.700,p2p-browser,cross-isp,1
343,172.200,p2p-browser,cross-isp,1
344,155.500,p2p-browser,cross-isp,1
345,152.900,p2p-browser,cross-isp,1
346,172.600,p2p-browser,cross-isp,1
347,160.800,p2p-browser,cross-isp,1
348,161.300,p2p-browser,cross-isp,1
349,164.100,p2p-browser,cross-isp,1
350,147.300,p2p-browser,cross-isp,1
351,147.000,p2p-browser,cross-isp,1
352,149.600,p2p-browser,cross-isp,1
353,150.700,p2p-browser,cross-isp,1
354,150.100,p2p-browser,cross-isp,1
355,148.500,p2p-browser,cross-isp,1
356,148.100,p2p-browser,cross-isp,1
357,155.900,p2p-browser,cross-isp,1
358,164.300,p2p-browser,cross-isp,1
359,148.000,p2p-browser,cross-isp,1
360,148.700,p2p-browser,cross-isp,1
361,148.400,p2p-browser,cross-isp,1
362,154.300,p2p-browser,cross-isp,1
363,137.900,p2p-browser,cross-isp,1
364,171.800,p2p-browser,cross-isp,1
365,155.800,p2p-browser,cross-isp,1
366,151.200,p2p-browser,cross-isp,1
367,138.800,p2p-browser,cross-isp,1
368,144.600,p2p-browser,cross-isp,1
369,168.100,p2p-browser,cross-isp,1
370,159.000,p2p-browser,cross-isp,1
371,145.100,p2p-browser,cross-isp,1
372,183.600,p2p-browser,cross-isp,1
373,167.200,p2p-browser,cross-isp,1
374,173.300,p2p-browser,cross-isp,1
375,156.900,p2p-browser,cross-isp,1
376,190.800,p2p-browser,cross-isp,1
377,174.300,p2p-browser,cross-isp,1
378,157.500,p2p-browser,cross-isp,1
379,157.400,p2p-browser,cross-isp,1
380,152.300,p2p-browser,cross-isp,1
381,171.600,p2p-browser,cross-isp,1
382,171.400,p2p-browser,cross-isp,1
383,154.700,p2p-browser,cross-isp,1
384,160.400,p2p-browser,cross-isp,1
385,144.900,p2p-browser,cross-isp,1
386,144.100,p2p-browser,cross-isp,1
387,164.800,p2p-browser,cross-isp,1
388,148.100,p2p-browser,cross-isp,1
389,144.800,p2p-browser,cross-isp,1
390,146.800,p2p-browser,cross-isp,1
391,145.200,p2p-browser,cross-isp,1
392,144.400,p2p-browser,cross-isp,1
393,158.400,p2p-browser,cross-isp,1
394,146.200,p2p-browser,cross-isp,1
395,145.000,p2p-browser,cross-isp,1
396,185.300,p2p-browser,cross-isp,1
397,174.100,p2p-browser,cross-isp,1
398,164.000,p2p-browser,cross-isp,1
399,153.100,p2p-browser,cross-isp,1
400,149.000,p2p-browser,cross-isp,1
401,182.900,p2p-browser,cross-isp,1
402,168.200,p2p-browser,cross-isp,1
403,254.800,p2p-browser,cross-isp,1
404,241.000,p2p-browser,cross-isp,1
405,225.200,p2p-browser,cross-isp,1
406,208.200,p2p-browser,cross-isp,1
407,191.800,p2p-browser,cross-isp,1
408,249.900,p2p-browser,cross-isp,1
409,239.200,p2p-browser,cross-isp,1
410,227.100,p2p-browser,cross-isp,1
411,209.900,p2p-browser,cross-isp,1
412,193.900,p2p-browser,cross-isp,1
413,183.500,p2p-browser,cross-isp,1
414,164.800,p2p-browser,cross-isp,1
415,148.500,p2p-browser,cross-isp,1
416,154.200,p2p-browser,cross-isp,1
417,148.000,p2p-browser,cross-isp,1
418,176.400,p2p-browser,cross-isp,1
419,159.900,p2p-browser,cross-isp,1
420,150.700,p2p-browser,cross-isp,1
421,154.800,p2p-browser,cross-isp,1
422,148.400,p2p-browser,cross-isp,1
423,144.600,p2p-browser,cross-isp,1
424,155.800,p2p-browser,cross-isp,1
425,144.000,p2p-browser,cross-isp,1
426,151.000,p2p-browser,cross-isp,1
427,163.900,p2p-browser,cross-isp,1
428,154.200,p2p-browser,cross-isp,1
429,156.900,p2p-browser,cross-isp,1
430,149.200,p2p-browser,cross-isp,1
431,149.300,p2p-browser,cross-isp,1
432,150.700,p2p-browser,cross-isp,1
433,141.900,p2p-browser,cross-isp,1
434,145.000,p2p-browser,cross-isp,1
435,179.900,p2p-browser,cross-isp,1
436,169.100,p2p-browser,cross-isp,1
437,156.500,p2p-browser,cross-isp,1
438,207.100,p2p-browser,cross-isp,1
439,193.500,p2p-browser,cross-isp,1
440,177.500,p2p-browser,cross-isp,1
441,164.900,p2p-browser,cross-isp,1
442,154.100,p2p-browser,cross-isp,1
443,216.800,p2p-browser,cross-isp,1
444,206.200,p2p-browser,cross-isp,1
445,193.800,p2p-browser,cross-isp,1
446,183.000,p2p-browser,cross-isp,1
447,166.500,p2p-browser,cross-isp,1
448,155.100,p2p-browser,cross-isp,1
449,144.600,p2p-browser,cross-isp,1
450,157.600,p2p-browser,cross-isp,1
451,150.500,p2p-browser,cross-isp,1
452,140.800,p2p-browser,cross-isp,1
453,149.700,p2p-browser,cross-isp,1
454,155.300,p2p-browser,cross-isp,1
455,142.100,p2p-browser,cross-isp,1
456,151.600,p2p-browser,cross-isp,1
457,167.500,p2p-browser,cross-isp,1
458,150.600,p2p-browser,cross-isp,1
459,149.500,p2p-browser,cross-isp,1
460,151.900,p2p-browser,cross-isp,1
461,179.800,p2p-browser,cross-isp,1
462,168.600,p2p-browser,cross-isp,1
463,158.200,p2p-browser,cross-isp,1
464,151.200,p2p-browser,cross-isp,1
465,150.100,p2p-browser,cross-isp,1
466,150.100,p2p-browser,cross-isp,1
467,155.900,p2p-browser,cross-isp,1
468,151.900,p2p-browser,cross-isp,1
469,140.700,p2p-browser,cross-isp,1
470,153.600,p2p-browser,cross-isp,1
471,167.200,p2p-browser,cross-isp,1
472,156.400,p2p-browser,cross-isp,1
473,149.400,p2p-browser,cross-isp,1
474,147.600,p2p-browser,cross-isp,1
475,138.700,p2p-browser,cross-isp,1
476,153.100,p2p-browser,cross-isp,1
477,155.400,p2p-browser,cross-isp,1
478,147.900,p2p-browser,cross-isp,1
479,155.900,p2p-browser,cross-isp,1
480,154.100,p2p-browser,cross-isp,1
481,158.100,p2p-browser,cross-isp,1
482,148.500,p2p-browser,cross-isp,1
483,149.700,p2p-browser,cross-isp,1
484,155.200,p2p-browser,cross-isp,1
485,143.500,p2p-browser,cross-isp,1
486,161.400,p2p-browser,cross-isp,1
487,150.800,p2p-browser,cross-isp,1
488,145.500,p2p-browser,cross-isp,1
489,154.000,p2p-browser,cross-isp,1
490,156.800,p2p-browser,cross-isp,1
491,140.700,p2p-browser,cross-isp,1
492,165.700,p2p-browser,cross-isp,1
493,373.600,p2p-browser,cross-isp,1
494,357.000,p2p-browser,cross-isp,1
495,340.900,p2p-browser,cross-isp,1
496,325.000,p2p-browser,cross-isp,1
497,308.900,p2p-browser,cross-isp,1
498,292.500,p2p-browser,cross-isp,1
499,280.600,p2p-browser,cross-isp,1
500,270.400,p2p-browser,cross-isp,1
501,255.300,p2p-browser,cross-isp,1
502,244.900,p2p-browser,cross-isp,1
503,231.600,p2p-browser,cross-isp,1
504,219.900,p2p-browser,cross-isp,1
505,208.600,p2p-browser,cross-isp,1
506,197.100,p2p-browser,cross-isp,1
507,186.800,p2p-browser,cross-isp,1
508,169.500,p2p-browser,cross-isp,1
509,153.700,p2p-browser,cross-isp,1
510,154.600,p2p-browser,cross-isp,1
511,232.600,p2p-browser,cross-isp,1
512,216.700,p2p-browser,cross-isp,1
513,200.200,p2p-browser,cross-isp,1
514,199.300,p2p-browser,cross-isp,1
515,190.800,p2p-browser,cross-isp,1
516,174.800,p2p-browser,cross-isp,1
517,160.900,p2p-browser,cross-isp,1
518,203.300,p2p-browser,cross-isp,1
519,186.900,p2p-browser,cross-isp,1
520,190.000,p2p-browser,cross-isp,1
521,173.500,p2p-browser,cross-isp,1
522,175.700,p2p-browser,cross-isp,1
523,165.100,p2p-browser,cross-isp,1
524,154.000,p2p-browser,cross-isp,1
525,149.800,p2p-browser,cross-isp,1
526,171.800,p2p-browser,cross-isp,1
527,166.700,p2p-browser,cross-isp,1
528,155.800,p2p-browser,cross-isp,1
529,153.800,p2p-browser,cross-isp,1
530,147.600,p2p-browser,cross-isp,1
531,157.000,p2p-browser,cross-isp,1
532,147.100,p2p-browser,cross-isp,1
533,144.100,p2p-browser,cross-isp,1
534,194.100,p2p-browser,cross-isp,1
535,182.400,p2p-browser,cross-isp,1
536,171.200,p2p-browser,cross-isp,1
537,154.600,p2p-browser,cross-isp,1
538,187.200,p2p-browser,cross-isp,1
539,201.900,p2p-browser,cross-isp,1
540,186.800,p2p-browser,cross-isp,1
541,170.700,p2p-browser,cross-isp,1
542,159.500,p2p-browser,cross-isp,1
543,153.300,p2p-browser,cross-isp,1
544,190.400,p2p-browser,cross-isp,1
545,175.200,p2p-browser,cross-isp,1
546,164.300,p2p-browser,cross-isp,1
547,152.800,p2p-browser,cross-isp,1
548,152.600,p2p-browser,cross-isp,1
549,150.100,p2p-browser,cross-isp,1
550,150.800,p2p-browser,cross-isp,1
551,134.600,p2p-browser,cross-isp,1
552,148.900,p2p-browser,cross-isp,1
553,145.600,p2p-browser,cross-isp,1
554,154.300,p2p-browser,cross-isp,1
555,142.900,p2p-browser,cross-isp,1
556,143.900,p2p-browser,cross-isp,1
557,139.800,p2p-browser,cross-isp,1
558,163.500,p2p-browser,cross-isp,1
559,151.500,p2p-browser,cross-isp,1
560,144.600,p2p-browser,cross-isp,1
561,144.200,p2p-browser,cross-isp,1
562,146.100,p2p-browser,cross-isp,1
563,146.800,p2p-browser,cross-isp,1
564,146.200,p2p-browser,cross-isp,1
565,154.900,p2p-browser,cross-isp,1
566,147.800,p2p-browser,cross-isp,1
567,142.300,p2p-browser,cross-isp,1
568,143.300,p2p-browser,cross-isp,1
569,227.300,p2p-browser,cross-isp,1
570,211.500,p2p-browser,cross-isp,1
571,201.700,p2p-browser,cross-isp,1
572,185.900,p2p-browser,cross-isp,1
573,211.700,p2p-browser,cross-isp,1
574,200.400,p2p-browser,cross-isp,1
575,222.000,p2p-browser,cross-isp,1
576,205.500,p2p-browser,cross-isp,1
577,193.800,p2p-browser,cross-isp,1
578,242.200,p2p-browser,cross-isp,1
579,233.600,p2p-browser,cross-isp,1
580,220.400,p2p-browser,cross-isp,1
581,204.100,p2p-browser,cross-isp,1
582,187.100,p2p-browser,cross-isp,1
583,170.200,p2p-browser,cross-isp,1
584,160.000,p2p-browser,cross-isp,1
585,175.800,p2p-browser,cross-isp,1
